commit	composite	pass_rate	avg_semantic	avg_rebus	status	description
0bdd9d0	76.2	0.329	9.0	8.1	discard	pilot_20260321/exp012 | replace rewrite more-precise-than-old line with exact | system/rewrite.md
0bdd9d0	77.7	0.343	9.1	8.0	discard	pilot_20260321/exp013 | add verify example OF | system/verify.md
0bdd9d0	77.4	0.343	9.0	8.0	discard	pilot_20260321/exp014 | add verify example UZ | system/verify.md
0bdd9d0	74.8	0.314	9.1	8.1	discard	pilot_20260321/exp015 | add verify example AZ | system/verify.md
0bdd9d0	73.6	0.300	9.1	8.2	discard	pilot_20260321/exp016 | add verify example AN | system/verify.md
0bdd9d0	76.0	0.329	9.0	8.0	discard	pilot_20260321/exp017 | add verify example EU | system/verify.md
0bdd9d0	74.4	0.314	9.0	8.0	discard	pilot_20260321/exp018 | add verify example AUT | system/verify.md
0bdd9d0	75.7	0.329	9.0	7.9	discard	pilot_20260321/exp019 | add verify example DAR | system/verify.md
0bdd9d0	73.3	0.300	9.0	8.1	discard	pilot_20260321/exp020 | add verify example FI | system/verify.md
0bdd9d0	75.9	0.329	9.0	7.9	discard	pilot_20260321/exp021 | add verify example IN | system/verify.md
0bdd9d0	69.0	0.257	9.0	8.1	discard	pilot_20260321/exp022 | add verify example ATU | system/verify.md
0bdd9d0	74.8	0.314	9.1	8.1	discard	pilot_20260321/exp023 | add verify example LA | system/verify.md
0bdd9d0	81.9	0.386	9.0	8.1	discard	pilot_20260321/exp024 | add verify example AR | system/verify.md
0bdd9d0	71.8	0.286	9.0	8.1	discard	pilot_20260321/exp025 | add verify example FLU | system/verify.md
0bdd9d0	77.5	0.343	9.1	8.0	discard	pilot_20260321/exp026 | add verify example ITI | system/verify.md
0bdd9d0	74.8	0.314	9.1	8.1	discard	pilot_20260321/exp027 | add verify example CATA | system/verify.md
0bdd9d0	77.5	0.343	9.1	8.0	discard	pilot_20260321/exp028 | add verify example UMEZITOR | system/verify.md
0bdd9d0	73.4	0.300	9.0	8.2	discard	pilot_20260321/exp029 | add verify example HOTAR | system/verify.md
0bdd9d0	72.9	0.300	9.0	7.9	discard	pilot_20260321/exp030 | add verify example TRONARE | system/verify.md
0bdd9d0	72.1	0.286	9.1	8.2	discard	pilot_20260321/exp031 | add verify example EPIGASTRU | system/verify.md
0bdd9d0	77.5	0.343	9.0	8.1	discard	pilot_20260321/exp032 | add verify example IMN | system/verify.md
0bdd9d0	78.8	0.357	9.1	8.0	discard	pilot_20260321/exp033 | add verify example RUT | system/verify.md
0bdd9d0	77.6	0.343	9.0	8.1	discard	pilot_20260321/exp034 | add verify example OSTRACA | system/verify.md
0bdd9d0	68.9	0.257	9.0	8.1	discard	pilot_20260321/exp035 | add verify example STIMULAT | system/verify.md
0bdd9d0	78.2	0.357	8.9	7.9	discard	pilot_20260321/exp036 | add verify example LECTURAT | system/verify.md
0bdd9d0	72.1	0.286	9.0	8.2	discard	pilot_20260321/exp037 | add rewrite rule to exclude common grouped distractors | system/rewrite.md
0bdd9d0	76.3	0.329	9.1	8.1	discard	pilot_20260321/exp038 | add rewrite rule to beat all proposed candidates | system/rewrite.md
0bdd9d0	75.1	0.314	9.0	8.3	discard	autoresearch/exp053 | add definition positive example OF | system/definition.md
0bdd9d0	71.8	0.286	9.1	8.0	discard	autoresearch/exp054 | add definition positive example UZ | system/definition.md
0bdd9d0	74.7	0.314	9.0	8.1	discard	autoresearch/exp055 | add definition positive example ATU | system/definition.md
0bdd9d0	73.4	0.300	9.0	8.2	discard	autoresearch/exp058 | add thin-lexicographic-first-def rule to definition | system/definition.md
0bdd9d0	72.1	0.286	9.1	8.2	discard	autoresearch/exp059 | add short-word canonical-meaning rule to definition | system/definition.md
0bdd9d0	78.9	0.357	9.1	8.0	discard	autoresearch/exp060 | replace flexion-confusion line with competitor-based form detail | system/definition.md
0bdd9d0	72.9	0.300	9.0	8.0	discard	autoresearch/exp065 | add near-synonym alternatives rule to rate | system/rate.md
0bdd9d0	74.3	0.314	9.0	7.9	discard	autoresearch/exp066 | add DEX-correct but common competitor rule to rate | system/rate.md
0bdd9d0	72.7	0.300	9.0	7.9	discard	autoresearch/exp067 | add lexicographic-transform rule to rate | system/rate.md
0bdd9d0	77.4	0.343	9.0	8.0	discard	autoresearch/exp040 | add thin-dex-gloss rewrite rule | system/rewrite.md
